PersonName,DateOfBirth,GroupName,GroupCategory,Role,Height (inches),StartDate,EndDate,
Chad Wild Clay,1984-03-10,Spy Ninjas,YouTube,Member,,2018-04-21,,
Vy Qwaint,1986-01-03,Spy Ninjas,YouTube,Member,,2018-04-21,,
Daniel Gizmo,1993-10-15,Spy Ninjas,YouTube,Member,,2018-04-21,,
Regina Ginera,1998-11-19,Spy Ninjas,YouTube,Member,,2018-04-21,,
Melvin PZ9,,Spy Ninjas,YouTube,Member,,2018-04-21,,
Solo channel,,Chad Wild Clay,YouTube,Member,,,,
Solo channel,,Vy Qwaint,YouTube,Member,,,,
Bryton,,Ninja Kids TV / Fun Squad,YouTube,Member,,2017-01-01,,
Ashton,,Ninja Kids TV / Fun Squad,YouTube,Member,,2017-01-01,,
Payton,,Ninja Kids TV / Fun Squad,YouTube,Member,,2017-01-01,,
Paxton,,Ninja Kids TV / Fun Squad,YouTube,Member,,2017-01-01,,
Kayson,,Ninja Kids TV / Fun Squad,YouTube,Member,,2017-01-01,,
Shane & Alyssa Butler,,Ninja Kids TV / Fun Squad,YouTube,Member,,2017-01-01,,
Tiffany & Benji,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
JourNee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
KennaDee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Kassidy,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Bridger,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
KassaDee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
PresLee Grace,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
ElleCee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Beckham,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Ledger,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Trey,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
NayVee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
SaiDee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Luke,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
DeLayNee,,Not Enough Nelsons,YouTube,Member,,2018-12-12,,
Adley McBride,2015-08-05,A for Adley,YouTube,Member,,2018-03-01,,
Shaun,,A for Adley,YouTube,Member,,2018-03-01,,
Jenny McBride,,A for Adley,YouTube,Member,,2018-03-01,,
